Divekick,"One True Game Studios
Iron Galaxy Studios","Iron Galaxy Studios
Square-Enix (Japan)[1]",0,"Single-player, multiplayer"
Might & Magic: Clash of Heroes,"Capybara Games
Tag Games (iOS)","Ubisoft (DS/XBLA/PSN)
Capybara Games (iOS)",0,"Single-player, multiplayer"
Driftmoon,Instant Kingdom,No data,0,single-player
Remember Me,Dontnod Entertainment,Capcom,0,Single-player
Battlefield 4,EA Digital Illusions CE,Electronic Arts,0,"Single-player, multiplayer"
FIFA Manager 14,Bright Future,EA Sports,0,"Single-player, Multiplayer"
God Mode,"Saber Interactive[1]
Old School Games[1]",Atlus[1],0,"Single-player, multiplayer (online/LAN)"
Joe Danger 2: The Movie,Hello Games,"Hello Games
Microsoft Studios (XBLA)",0,"Single-player, multiplayer"
Ms. Splosion Man,"Twisted Pixel Games
Iron Galaxy Studios (iOS/Windows Phone)",Microsoft Studios,0,"Single-player, multiplayer"
Castle of Illusion Starring Mickey Mouse,"Sega Studios Australia
Feral Interactive (OS X)[1]","Sega
Disney Interactive Studios
Feral Interactive (OS X)",0,Single player
Defiance,"Trion Worlds, Human Head Studios",Trion Worlds,0,Multiplayer
Prince of Persia 2: The Shadow and the Flame,Brøderbund,Brøderbund,0,Single-player
State of Decay,Undead Labs,Microsoft Studios[1],0,Single-player
Rune Factory 4,Neverland Co.,"JP Marvelous AQL
NA / EU XSEED Games",0,Single-player
Sonic Lost World,"Sonic Team
Dimps (3DS)","JP/NA Sega


EU/AUS Nintendo[1]",0,"Single-player, multiplayer"
The Elder Scrolls V: Skyrim,Bethesda Game Studios,Bethesda Softworks,0,Single-player
Metal Gear Solid: The Legacy Collection,Kojima Productions,Konami,0,Single-player
Krater,Fatshark,Fatshark,0,Single-player
Hero Academy,Robot Entertainment,Robot Entertainment,0,Two-player
The Amazing Spider-Man,"Beenox
Other Ocean Interactive (DS)
Gameloft (Android, iOS, mobile)",Activision,0,Single-player
Sniper Elite V2,Rebellion Oxford,"Microsoft Windows
Rebellion Developments
PlayStation 3, Xbox 360 & Wii U
505 Games

JP Ubisoft",0,"Single-player, multiplayer, co-op"
Mega Man 5,Capcom,Capcom,0,Single-player
